7.2145	1150.0005	118.5	9679391.568	100.4309919
7.23822	1138.731687	119	7904153.888	100.2387543
7.26194	1127.609623	119.7	6648063.529	99.97381281
7.28566	1116.63193	120.7	5287857.547	100.1392506
7.30938	1105.796271	121.5	4480401.714	99.79844061
7.3331	1095.100356	122.5	3047880.511	99.90514419
7.35682	1084.541942	124	2522305.255	99.97923816
7.38054	1074.118824	125.5	2380886.704	100.1797665
7.40426	1063.828843	126.5	1251320.47	100.033282
7.42798	1053.66988	127.5	1112571.377	99.95964981
7.4517	1043.639856	129	256164.1255	99.98425461
7.47542	1033.736731	130.5	106130.4655	99.97232904
7.48965	1027.854935	131.4	-11593.57736	100.0865287
7.49914	1023.958507	132	-243043.9516	100.1246006
7.52286	1014.303218	133.5	-406478.3428	100.2605881
7.54658	1004.768941	135	-1507708.192	100.0663402
7.5703	995.3537837	136	-1942291.82	99.83156575
7.59402	986.0558928	137.5	-1605614.559	99.89677509
7.61774	976.873448	139.7	-2071264.016	99.93663759
7.64146	967.8046631	140.7	-2449293.229	99.65312256
7.66518	958.8477849	142.1	-1929275.333	100.1064926
7.6889	950.0010926	144	-1815373.954	100.1060795
